BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
496,2015-12-14 16:19:00,745,210,121.0
497,2015-12-14 17:12:00,224,110,37.8
498,2015-12-14 18:29:00,812,320,76.6
499,2015-12-14 22:21:00,812,220,103.825
500,2015-12-16 01:13:00,812,410,45.18
501,2015-12-16 20:54:00,812,220,123.16
502,2015-12-17 00:11:00,812,110,35.36
503,2015-12-17 18:46:00,812,220,95.2
504,2015-12-18 19:46:00,224,220,333.53
505,2015-12-18 23:44:00,812,510,56.92
506,2015-12-19 10:29:00,812,110,31.66
507,2015-12-20 05:10:00,812,310,102.7
508,2015-12-20 14:58:00,812,410,42.04
509,2015-12-21 06:02:00,812,110,31.74
510,2015-12-21 19:09:00,812,220,81.2
511,2015-12-21 23:52:00,812,220,114.89999999999999
512,2015-12-22 03:22:00,812,310,93.04
513,2015-12-22 17:25:00,224,220,118.04
514,2015-12-22 19:15:00,812,220,79.32
515,2015-12-22 19:42:00,812,320,66.5
516,2015-12-22 20:15:00,224,220,93.48
517,2015-12-23 15:40:00,224,110,36.239999999999995
518,2015-12-23 17:43:00,745,210,129.56
519,2015-12-24 17:39:00,812,220,113.6
520,2015-12-25 20:22:00,812,310,86.52
521,2015-12-26 21:24:00,224,110,31.66
522,2015-12-27 15:58:00,812,220,118.1
523,2015-12-28 15:56:00,812,110,30.08
524,2015-12-28 23:03:00,812,110,35.239999999999995
525,2015-12-29 01:27:00,812,310,78.5
526,2015-12-29 15:22:00,812,220,60.88
527,2015-12-30 18:15:00,812,510,70.54
528,2015-12-30 19:20:00,812,220,113.22
529,2015-12-30 20:30:00,812,110,27.14
530,2015-12-31 19:02:00,812,110,35.0
531,2015-12-31 20:58:00,812,310,73.3
532,2016-01-01 17:42:00,812,110,36.64
533,2016-01-03 22:56:00,812,110,32.52
534,2016-01-03 23:04:00,812,510,65.56
535,2016-01-04 20:28:00,224,220,104.74
536,2016-01-04 22:34:00,812,310,90.64
537,2016-01-05 15:39:00,812,410,38.78
538,2016-01-05 17:19:00,224,110,31.6
539,2016-01-06 17:22:00,812,410,38.54
540,2016-01-06 17:33:00,224,110,40.620000000000005
541,2016-01-06 18:00:00,745,210,119.67999999999999
542,2016-01-06 18:26:00,745,210,120.82
543,2016-01-06 21:26:00,745,210,121.06
544,2016-01-06 21:28:00,745,210,119.22
545,2016-01-06 21:30:00,745,210,121.26
546,2016-01-06 21:32:00,745,210,120.74
547,2016-01-06 21:37:00,745,210,120.56
548,2016-01-06 21:53:00,745,210,121.5
549,2016-01-06 21:55:00,745,210,120.36
550,2016-01-06 22:00:00,745,210,120.84
551,2016-01-06 22:03:00,745,210,120.1
552,2016-01-06 22:58:00,745,210,119.32
553,2016-01-06 23:01:00,745,210,120.76
554,2016-01-07 14:49:00,745,210,118.44
555,2016-01-07 14:52:00,745,210,123.96
556,2016-01-07 14:54:00,745,210,120.39999999999999
557,2016-01-07 14:57:00,745,210,120.34
558,2016-01-07 15:05:00,745,210,123.12
559,2016-01-07 15:10:00,745,210,120.38
560,2016-01-07 15:12:00,745,210,119.56
561,2016-01-07 15:20:00,224,110,29.8
562,2016-01-07 15:45:00,745,210,124.68
563,2016-01-07 16:22:00,745,210,128.0
564,2016-01-07 16:25:00,745,210,127.88000000000001
565,2016-01-07 16:39:00,745,210,117.08
566,2016-01-07 17:11:00,745,210,123.22
567,2016-01-07 17:33:00,224,310,86.16
568,2016-01-07 17:33:00,745,210,125.46000000000001
569,2016-01-07 17:58:00,745,210,122.72
570,2016-01-07 20:27:00,224,410,48.1
571,2016-01-07 22:23:00,745,210,126.28
572,2016-01-07 22:28:00,745,210,121.66
573,2016-01-07 22:35:00,745,210,127.48
574,2016-01-07 22:37:00,745,210,123.92
575,2016-01-07 22:40:00,745,210,121.72
576,2016-01-07 22:44:00,745,210,123.96
577,2016-01-07 22:46:00,745,210,122.0
578,2016-01-07 23:00:00,717,210,148.74
579,2016-01-07 23:06:00,717,210,125.67999999999999
580,2016-01-07 23:10:00,717,210,121.66
581,2016-01-07 23:14:00,717,210,122.22
